name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM30b.col,30,81,27,810,3058,OPTIMAL,26,0.000895995,0.0010704,0.0019664,46.01953,,15.0,0.0,,2888.0,40.0,54.0,508.0,,9.0,109.0,5.0,,6.0,0.0,15.0,,305.0,,,2.0,,,,,89.0,
c21_3_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000554695,0.00220964,0.00276433,45.46875,35.0,72.0,0.0,,5436.0,395.0,433.0,2115.0,,19.0,587.0,5.0,,67.0,0.0,70.0,,182.0,,,83.0,,,,,370.0,
c21_8_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000611805,0.00204952,0.00266132,45.95703,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
c21_1_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000261028,0.00215669,0.00241772,45.53125,35.0,72.0,0.0,,5436.0,395.0,433.0,2115.0,,19.0,587.0,5.0,,67.0,0.0,70.0,,182.0,,,83.0,,,,,370.0,
GEOM40a.col,40,146,50,2000,9861,OPTIMAL,37,0.00285326,0.0178128,0.0206661,46.02344,64.0,62.0,0.0,,253986.0,2676.0,2857.0,43053.0,,6542.0,49580.0,65.0,,340.0,0.0,62.0,,5286.0,50.0,,577.0,,,,,14367.0,
GEOM40b.col,40,157,40,1600,8201,OPTIMAL,33,0.00233048,0.0104084,0.0127388,46.02344,1.0,26.0,0.0,,95002.0,1305.0,1379.0,14387.0,,2566.0,9174.0,29.0,,167.0,0.0,26.0,,2028.0,,,282.0,,,,,3682.0,
c21_2_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000418721,0.00189904,0.00231776,45.53516,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
GEOM110a.col,110,1207,109,11990,148064,OPTIMAL,69,0.0450402,100.395,100.44,136.91797,208099.0,11952.0,0.0,4251.0,702049000.0,3797300.0,3870880.0,137005000.0,962.0,29988700.0,8350480.0,525.0,1756.0,191317.0,0.0,476155.0,1817.0,101155.0,2773040.0,9.0,671894.0,208.0,52.0,130.0,99.0,32823400.0,30.0
GEOM120a.col,120,1434,109,13080,172747,OPTIMAL,82,0.0506998,217.803,217.853,161.19531,130533.0,9022.0,0.0,902.0,400535000.0,2678760.0,2721700.0,94221900.0,,19763600.0,5808090.0,110.0,210.0,253682.0,0.0,269214.0,899.0,53944.0,1956500.0,42.0,398076.0,146.0,,85.0,8.0,28791700.0,16.0
c55_2_d2.col,55,362,8,440,3447,OPTIMAL,7,0.0013399,0.00360042,0.00494032,45.53516,5.0,88.0,0.0,,11384.0,436.0,492.0,2493.0,,23.0,924.0,,,74.0,0.0,87.0,,363.0,,,132.0,,,,,185.0,
GEOM20.col,20,20,24,480,1041,OPTIMAL,21,0.000481113,0.00150444,0.00198555,45.53906,,5.0,0.0,,2138.0,26.0,31.0,172.0,,33.0,746.0,12.0,,2.0,0.0,5.0,,407.0,,,14.0,,,,,28.0,
