name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00142754,0.00289241,0.00431995,45.48047,33.0,57.0,0.0,,14903.0,415.0,443.0,2085.0,13.0,670.0,1.0,77.0,0.0,,56.0,,137.0,,,79.0,,,,350.0,
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.0016972,0.00356835,0.00526555,45.84375,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00143276,0.00347011,0.00490287,45.48047,33.0,57.0,0.0,,14903.0,415.0,443.0,2085.0,13.0,670.0,1.0,77.0,0.0,,56.0,,137.0,,,79.0,,,,350.0,
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.0438041,0.0461888,0.0899929,45.48047,175.0,40.0,0.0,,424565.0,3078.0,3320.0,44042.0,5185.0,5687.0,5.0,324.0,0.0,,40.0,,855.0,33.0,,858.0,2.0,2.0,,11918.0,
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.024921,0.0139454,0.0388664,45.96875,9.0,8.0,0.0,,116557.0,777.0,830.0,8833.0,1058.0,1260.0,3.0,83.0,0.0,,8.0,,612.0,,,233.0,,,,2533.0,
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00255501,0.00487672,0.00743173,45.96875,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,1.49419,98.4073,99.9015,127.78125,93829.0,6659.0,0.0,1125.0,425248000.0,2107120.0,2147590.0,68018300.0,15700000.0,4071360.0,15.0,128286.0,0.0,945.0,173261.0,242125.0,5234.0,1413220.0,2205.0,369534.0,153.0,34.0,77707.0,16107300.0,38.0
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,1.2777,138.234,139.512,139.79297,106516.0,7066.0,0.0,215.0,356587000.0,2159730.0,2193240.0,67521100.0,14213500.0,3776000.0,4.0,231861.0,0.0,570.0,195982.0,278112.0,4356.0,1471960.0,2412.0,310176.0,129.0,30.0,89669.0,19098400.0,31.0
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00421033,0.00567474,0.00988506,45.91016,43.0,77.0,0.0,,25739.0,596.0,639.0,3358.0,60.0,913.0,,101.0,0.0,,75.0,,219.0,,,114.0,,,,508.0,
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00315303,0.00166968,0.00482272,45.48438,,3.0,0.0,,6441.0,37.0,40.0,260.0,17.0,128.0,,2.0,0.0,,3.0,,245.0,,,15.0,,,,96.0,
