name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
c21_2_d2.col,21,102,12,315,1886,OPTIMAL,9,0.00318985,0.00182603,0.00501587,50.4375,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,357f7cf6535a13a2109dbf9d363efff9cc6e0038fccf653c1dafc7e92e00fe01,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_2_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:16.960873+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_3_d1.col,21,102,8,231,930,OPTIMAL,7,0.00104239,0.00211452,0.00315691,50.0625,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,2765b742e9eb99580ca620c1af200f5de170405ca0f8ef34101dec9696c2f9ee,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_3_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.065294+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_3_d2.col,21,102,8,231,930,OPTIMAL,7,0.000960615,0.00202709,0.0029877,50.4375,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,5274c4b0e9751b679b2b38ab34627c4d1eca543d53c9c4086f61ec64f8ee1c6f,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_3_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.172474+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_4_d1.col,21,102,12,315,1886,OPTIMAL,9,0.00339109,0.0018331,0.00522419,50.625,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,19dd5b83496200f38741c1f02f9fc646d0eae6d2a435789be0650d1e3455d42b,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_4_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.280533+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_4_d2.col,21,102,12,315,1886,OPTIMAL,9,0.00306084,0.00176317,0.004824,50.8125,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,dcae409f3fa775f5d64e2a1c13109513f71b4261ac6646fa06061715bb34c40c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_4_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.386491+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_5_d1.col,21,102,8,231,930,OPTIMAL,7,0.000963344,0.00208343,0.00304678,51.125,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,9b48d14af7b6c13caa07b34bb084a2f18f2bbe1f27e4357c5d1d30b214e43ba0,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_5_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.491638+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_5_d2.col,21,102,8,231,930,OPTIMAL,7,0.00105047,0.00198779,0.00303826,50.5,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,bfa272eb474be3d829f6ae72dc0b350e3cc16cae91bd5b0268f9d7d42e029bdf,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_5_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.598214+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_6_d1.col,21,102,12,315,1886,OPTIMAL,9,0.00312304,0.00181263,0.00493567,50.9375,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,67f709a59420aa411b280438ae2a69559cb89dbc2a475e7237b5ff6beb322fc2,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_6_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.709104+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_6_d2.col,21,102,12,315,1886,OPTIMAL,9,0.00305864,0.00190303,0.00496167,50.8125,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,75ba8238057f4be94630617bff4cf631976862699cffdb81bcbe628b6f5af066,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_6_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.815526+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_7_d1.col,21,102,8,231,930,OPTIMAL,7,0.000962471,0.0020515,0.00301397,51.125,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,a5740086f18083fcf131d5f89bf75b7673b05dfb0366edb4c45fca95b2789986,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_7_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:17.919862+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_7_d2.col,21,102,8,231,930,OPTIMAL,7,0.00102135,0.00200094,0.00302229,50.9375,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,ac84b1b113bb6b57a70caec3bc248b94cc90c0bb1186f65645d78821eb05adbd,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_7_d2.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:18.029391+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
c21_8_d1.col,21,102,12,315,1886,OPTIMAL,9,0.00306035,0.00178758,0.00484793,50.9375,0,1,2,509f41020245d12b4e03b0c6681826c72245d1f3,False,bb8a14faad6327dbd85291090c1bdb4c5568aa8d9d5a7bd53c8654f3ab113224,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/c21_8_d1.col X -t 3600 --use-symmetry-breaking --width fixed,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-16T10:03:18.137439+07:00,CaDiCaL,0,X,3600,False,,True,False,fixed
